target,top_n_requested,n_features_after_pruning,variant,model,classe,classe_codigo,precision,recall,f1,support
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|BR16|manha + tarde,0,0.7,0.5833333333333334,0.6363636363636364,12
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|BR16|unico,1,0.4444444444444444,0.3333333333333333,0.38095238095238093,12
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|CD202|manha + tarde,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,12
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|CD202|unico,3,0.4,0.3333333333333333,0.36363636363636365,12
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|EMB48|manha + tarde,4,0.4117647058823529,0.5833333333333334,0.4827586206896552,12
condicao_genotipo_turno,5,5,jitter,Random Forest,IRR|EMB48|unico,5,0.6923076923076923,0.75,0.72,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|BR16|manha + tarde,6,0.4375,0.5833333333333334,0.5,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|BR16|unico,7,0.2222222222222222,0.16666666666666666,0.19047619047619047,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|CD202|manha + tarde,8,0.5294117647058824,0.75,0.6206896551724138,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|CD202|unico,9,0.0,0.0,0.0,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|EMB48|manha + tarde,10,0.4444444444444444,0.3333333333333333,0.38095238095238093,12
condicao_genotipo_turno,5,5,jitter,Random Forest,NIRR|EMB48|unico,11,0.2857142857142857,0.3333333333333333,0.3076923076923077,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|BR16|manha + tarde,0,0.5454545454545454,0.5,0.5217391304347826,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|BR16|unico,1,0.36363636363636365,0.3333333333333333,0.34782608695652173,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|CD202|manha + tarde,2,0.3333333333333333,0.25,0.2857142857142857,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|CD202|unico,3,0.2727272727272727,0.25,0.2608695652173913,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|EMB48|manha + tarde,4,0.35714285714285715,0.4166666666666667,0.38461538461538464,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),IRR|EMB48|unico,5,0.5833333333333334,0.5833333333333334,0.5833333333333334,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),NIRR|BR16|manha + tarde,6,0.4666666666666667,0.5833333333333334,0.5185185185185185,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),NIRR|BR16|unico,7,0.2,0.16666666666666666,0.18181818181818182,12
condicao_genotipo_turno,5,5,jitter,SVM (RBF),NIRR|CD202|manha + tarde,8,0.4583333333333333,0.9166666666666666,0.6111111111111112,12
