subset,band,wavelength_nm
joint_cluster_soft_corr_0p90_top_10,band_381,381
joint_cluster_soft_corr_0p90_top_10,band_722,722
joint_cluster_soft_corr_0p90_top_10,band_2444,2444
joint_cluster_soft_corr_0p90_top_10,band_383,383
joint_cluster_soft_corr_0p90_top_10,band_721,721
joint_cluster_soft_corr_0p90_top_10,band_384,384
joint_cluster_soft_corr_0p90_top_10,band_723,723
joint_cluster_soft_corr_0p90_top_10,band_380,380
joint_cluster_soft_corr_0p90_top_10,band_725,725
joint_cluster_soft_corr_0p90_top_10,band_382,382
