subset,band,wavelength_nm
ttest_cluster_soft_corr_0p85_top_15,band_727,727
ttest_cluster_soft_corr_0p85_top_15,band_383,383
ttest_cluster_soft_corr_0p85_top_15,band_2444,2444
ttest_cluster_soft_corr_0p85_top_15,band_728,728
ttest_cluster_soft_corr_0p85_top_15,band_382,382
ttest_cluster_soft_corr_0p85_top_15,band_726,726
ttest_cluster_soft_corr_0p85_top_15,band_384,384
ttest_cluster_soft_corr_0p85_top_15,band_729,729
ttest_cluster_soft_corr_0p85_top_15,band_381,381
ttest_cluster_soft_corr_0p85_top_15,band_725,725
ttest_cluster_soft_corr_0p85_top_15,band_380,380
ttest_cluster_soft_corr_0p85_top_15,band_730,730
ttest_cluster_soft_corr_0p85_top_15,band_375,375
ttest_cluster_soft_corr_0p85_top_15,band_724,724
ttest_cluster_soft_corr_0p85_top_15,band_385,385
