band,wavelength_nm,rank_ttest,ttest_q_value,abs_cohen_d,rank_kruskal,kruskal_q_value,h_stat,eta2_h,joint_rank_score,joint_rank
band_381,381,17,1.6759108245698905e-21,2.2436859335034294,1,8.517936947065672e-20,102.65613026819926,0.7076531178855019,18,1
band_383,383,14,1.6759108245698905e-21,2.248709899069669,7,8.517936947065672e-20,102.45162835249039,0.7061712199455825,21,2
band_384,384,16,1.6759108245698905e-21,2.245963712806133,5,8.517936947065672e-20,102.4855842911877,0.7064172774723747,21,3
band_380,380,18,1.6759108245698905e-21,2.2398879474338536,4,8.517936947065672e-20,102.53611111111115,0.7067834138486315,22,4
band_382,382,15,1.6759108245698905e-21,2.24707390074541,11,8.517936947065672e-20,102.37734674329499,0.7056329474151811,26,5
band_377,377,24,1.6759108245698905e-21,2.2341198217943767,2,8.517936947065672e-20,102.59937739463601,0.7072418651785218,26,6
band_376,376,22,1.6759108245698905e-21,2.2351896218355445,6,8.517936947065672e-20,102.47931034482758,0.7063718140929535,28,7
band_379,379,23,1.6759108245698905e-21,2.2353888296700166,9,8.517936947065672e-20,102.41872605363983,0.7059327974901437,32,8
band_391,391,26,1.6759108245698905e-21,2.227147312219401,8,8.517936947065672e-20,102.42260536398464,0.7059609084346713,34,9
band_385,385,20,1.6759108245698905e-21,2.236169425693578,15,8.517936947065672e-20,102.22562260536404,0.7045334971403191,35,10
band_378,378,25,1.6759108245698905e-21,2.2336225682097095,10,8.517936947065672e-20,102.38644636015317,0.7056988866677766,35,11
band_375,375,19,1.6759108245698905e-21,2.236664403783024,20,8.517936947065672e-20,102.06216475095778,0.7033490199344766,39,12
band_361,361,37,1.6759108245698905e-21,2.2167927429317262,3,8.517936947065672e-20,102.55009578544059,0.7068847520684101,40,13
band_386,386,30,1.6759108245698905e-21,2.2285321615314055,14,8.517936947065672e-20,102.26815134099616,0.7048416763840301,44,14
band_387,387,32,1.6759108245698905e-21,2.224734040426226,13,8.517936947065672e-20,102.27279693486594,0.7048753401077242,45,15
band_392,392,27,1.6759108245698905e-21,2.2240904145361964,18,8.517936947065672e-20,102.11829501915713,0.703755761008385,45,16
band_389,389,33,1.6759108245698905e-21,2.2239470763814526,12,8.517936947065672e-20,102.33893678160916,0.7053546143594867,45,17
band_390,390,29,1.6759108245698905e-21,2.226797195268737,17,8.517936947065672e-20,102.16264367816086,0.7040771281026149,46,18
band_374,374,21,1.6759108245698905e-21,2.2350929247428017,31,8.517936947065672e-20,101.64875478927195,0.7003532955744344,52,19
band_388,388,34,1.6759108245698905e-21,2.2227074012210224,19,8.517936947065672e-20,102.09976053639843,0.7036214531623075,53,20
band_393,393,31,1.6759108245698905e-21,2.2198978885809435,22,8.517936947065672e-20,101.89559386973178,0.7021419845632738,53,21
band_362,362,38,1.6759108245698905e-21,2.213477015969122,23,8.517936947065672e-20,101.80004789272027,0.7014496224110165,61,22
band_360,360,47,1.7949725662640295e-21,2.2095015510353964,16,8.517936947065672e-20,102.20727969348661,0.7044005774890334,63,23
band_394,394,40,1.6759108245698905e-21,2.2133539958019286,25,8.517936947065672e-20,101.7178639846743,0.7008540868454659,65,24
band_373,373,28,1.6759108245698905e-21,2.2300905139397003,38,8.517936947065672e-20,101.46973180076634,0.6990560275417851,66,25
band_372,372,35,1.6759108245698905e-21,2.225038450836755,37,8.517936947065672e-20,101.48505747126433,0.6991670831251038,72,26
band_359,359,53,2.141550600895111e-21,2.1987330410585555,21,8.517936947065672e-20,101.99343869731808,0.7028510050530296,74,27
band_400,400,55,2.272557404532817e-21,2.192982777759691,24,8.517936947065672e-20,101.7467911877394,0.7010637042589812,79,28
band_397,397,52,2.141550600895111e-21,2.1970316251424546,28,8.517936947065672e-20,101.67097701149419,0.7005143261702478,80,29
band_395,395,49,1.8285086254460252e-21,2.204234038066992,33,8.517936947065672e-20,101.59377394636022,0.6999548836692769,82,30
band_398,398,54,2.272557404532817e-21,2.194410216087393,30,8.517936947065672e-20,101.65167624521075,0.7003744655450055,84,31
band_396,396,51,2.0858503133299517e-21,2.19861454086649,34,8.517936947065672e-20,101.59329501915715,0.6999514131822983,85,32
band_401,401,56,2.3128989464608593e-21,2.191099446972356,29,8.517936947065672e-20,101.66786398467434,0.7004917680048866,85,33
band_402,402,59,2.53936302220912e-21,2.1853099873049837,27,8.517936947065672e-20,101.68697318007662,0.7006302404353378,86,34
band_403,403,60,2.6452663787765976e-21,2.1833891095037115,26,8.517936947065672e-20,101.71489463601529,0.7008325698261977,86,35
band_371,371,36,1.6759108245698905e-21,2.2245776974019353,52,8.517936947065672e-20,101.17164750957852,0.6968959964462211,88,36
band_399,399,57,2.3244586654151213e-21,2.1912563174895956,35,8.517936947065672e-20,101.5374521072797,0.6995467544005776,92,37
band_406,406,64,3.111367541861173e-21,2.1774355603630435,32,8.517936947065672e-20,101.61317049808429,0.7000954383919151,96,38
band_370,370,39,1.6759108245698905e-21,2.2218632567052814,59,9.067179591715136e-20,100.7827586206896,0.6940779610194899,98,39
band_358,358,58,2.3923787650787147e-21,2.1888633904832036,46,8.517936947065672e-20,101.28089080459779,0.697687614526071,104,40
band_404,404,61,2.773566297967928e-21,2.1817755476580962,43,8.517936947065672e-20,101.32231800766283,0.6979878116497307,104,41
band_366,366,41,1.6759108245698905e-21,2.215408153522059,64,9.517106101607081e-20,100.43180076628357,0.6915347881614752,105,42
band_414,414,69,3.656728590371904e-21,2.1668095403308416,36,8.517936947065672e-20,101.52595785440622,0.6994634627130886,105,43
band_363,363,46,1.7834431355342822e-21,2.2044446997911984,60,9.319566041025454e-20,100.66489463601533,0.6932238741740242,106,44
band_367,367,42,1.6759108245698905e-21,2.216311381327847,65,9.517106101607081e-20,100.40943486590038,0.691372716419568,107,45
band_405,405,62,2.994928723699265e-21,2.1795464048125073,45,8.517936947065672e-20,101.294540229885,0.6977865234049638,107,46
band_368,368,45,1.7834431355342822e-21,2.211682595276839,63,9.517106101607081e-20,100.4510536398468,0.6916743017380204,108,47
band_408,408,66,3.1679113594004395e-21,2.17537866423593,42,8.517936947065672e-20,101.35363984674336,0.6982147814981403,108,48
band_409,409,67,3.423530633947088e-21,2.1710918366274843,41,8.517936947065672e-20,101.4056513409962,0.6985916763840304,108,49
band_369,369,44,1.7834431355342822e-21,2.2151780635076994,66,9.517106101607081e-20,100.40105363984674,0.6913119828974401,110,50
band_415,415,70,3.669337405630548e-21,2.166644378531953,40,8.517936947065672e-20,101.42590996168576,0.6987384779832302,110,51
band_413,413,71,3.669337405630548e-21,2.164518049466153,39,8.517936947065672e-20,101.44315134099622,0.6988634155144654,110,52
band_407,407,65,3.111367541861173e-21,2.1773883431034826,48,8.517936947065672e-20,101.24252873563216,0.6974096285190736,113,53
band_416,416,73,3.669337405630548e-21,2.16581387426635,44,8.517936947065672e-20,101.30076628352492,0.6978316397356878,117,54
band_410,410,68,3.532979999865147e-21,2.1691947575128583,50,8.517936947065672e-20,101.22696360153259,0.6972968376922651,118,55
band_411,411,72,3.669337405630548e-21,2.164948218330889,47,8.517936947065672e-20,101.25411877394629,0.6974936143039586,119,56
band_364,364,50,1.881365232009551e-21,2.199266142386706,73,9.517106101607081e-20,100.24430076628346,0.6901760925093005,123,57
band_418,418,74,3.669337405630548e-21,2.165244285444864,49,8.517936947065672e-20,101.24214559386974,0.6974068521294908,123,58
band_365,365,48,1.7949725662640295e-21,2.20452923789673,78,9.709651765005436e-20,100.06652298850577,0.6888878477427954,126,59
band_412,412,75,3.766845393569645e-21,2.162501249024139,51,8.517936947065672e-20,101.19774904214557,0.6970851379865621,126,60
band_722,722,9,1.3513716119959807e-25,2.2263124501928466,125,2.352529134534102e-18,92.51776819923373,0.6341867260814038,134,61
band_721,721,10,7.236333999197591e-25,2.179783806900921,124,2.318758915019604e-18,92.56422413793098,0.6345233633183405,134,62
band_723,723,8,3.395054665203758e-26,2.265867192442034,127,2.9722793094683484e-18,91.99391762452103,0.6303907074240654,135,63
band_420,420,81,3.918328800403081e-21,2.1585624998705732,55,9.067179591715136e-20,100.86278735632186,0.6946578793936367,136,64
band_424,424,82,3.918328800403081e-21,2.1572522325623487,54,9.067179591715136e-20,100.95938697318002,0.6953578766172465,136,65
band_725,725,5,5.880050516135083e-27,2.3227609902326427,132,3.909432995196227e-18,91.35589080459772,0.6257673246709979,137,66
band_726,726,3,5.4460549371345034e-27,2.3397537990376374,135,4.29458890884726e-18,91.1152777777778,0.6240237520128826,138,67
band_724,724,7,1.1777530322475424e-26,2.2980946297486415,131,3.4941738722932754e-18,91.60363984674336,0.6275626075850969,138,68
band_727,727,1,5.4460549371345034e-27,2.3492162182941136,138,5.169627746941373e-18,90.6865900383142,0.6209173191182188,139,69
band_720,720,11,5.006313650590154e-24,2.1269657198193554,128,2.9722793094683484e-18,91.98572796934866,0.6303313620967295,139,70
band_423,423,87,3.918328800403081e-21,2.156107559543209,53,9.053708371640188e-20,101.00675287356319,0.6957011077794434,140,71
band_728,728,2,5.4460549371345034e-27,2.351886051584472,139,5.40110210881112e-18,90.58113026819922,0.6201531178855015,141,72
band_425,425,85,3.918328800403081e-21,2.156387724206711,57,9.067179591715136e-20,100.79190613026822,0.6941442473207842,142,73
band_426,426,86,3.918328800403081e-21,2.156313646166432,58,9.067179591715136e-20,100.7883141762452,0.6941182186684435,144,74
band_729,729,4,5.4460549371345034e-27,2.348484754364447,141,6.324118877371766e-18,90.22547892720297,0.6175759342550939,145,75
band_719,719,12,4.2861800238602754e-23,2.0686005401766523,133,4.138836787633242e-18,91.22246168582376,0.624800446998723,145,76
band_357,357,63,3.065322693017434e-21,2.173660152516849,82,9.835321617537712e-20,99.93697318007662,0.6879490810150479,145,77
band_431,431,78,3.918328800403081e-21,2.1597171686514867,67,9.517106101607081e-20,100.38615900383138,0.6912040507524013,145,78
band_422,422,90,3.918328800403081e-21,2.155158418626837,56,9.067179591715136e-20,100.8125,0.6942934782608695,146,79
band_432,432,77,3.918328800403081e-21,2.1602633119352954,69,9.517106101607081e-20,100.33275862068967,0.690817091454273,146,80
band_427,427,84,3.918328800403081e-21,2.1572370786232566,62,9.517106101607081e-20,100.56762452107273,0.6925190182686429,146,81
band_718,718,13,4.374731217481602e-22,2.0053087190384384,134,4.233304684478221e-18,91.16034482758619,0.624350324837581,147,82
band_730,730,6,5.880050516135083e-27,2.3396889257707953,143,7.713309743702633e-18,89.78582375478925,0.6143900272086178,149,83
band_421,421,88,3.918328800403081e-21,2.155814804921613,61,9.319566041025454e-20,100.65751915708813,0.6931704286745517,149,84
band_430,430,79,3.918328800403081e-21,2.1591723004331933,72,9.517106101607081e-20,100.25095785440612,0.6902243322783053,151,85
band_429,429,80,3.918328800403081e-21,2.1589849933958734,71,9.517106101607081e-20,100.294204980843,0.6905377172524856,151,86
band_428,428,83,3.918328800403081e-21,2.1581146757272607,70,9.517106101607081e-20,100.33026819923373,0.6907990449219835,153,87
band_434,434,89,3.918328800403081e-21,2.1559918942229572,68,9.517106101607081e-20,100.36580459770119,0.6910565550558057,157,88
band_356,356,76,3.9046741842561405e-21,2.150086266934221,88,1.37046717057698e-19,99.09358237547895,0.6818375534454996,164,89
band_437,437,92,4.282311983739071e-21,2.152689349000682,74,9.528760941990142e-20,100.213745210728,0.6899546754400581,166,90
