subset,band,wavelength_nm
joint_top_30,band_381,381
joint_top_30,band_383,383
joint_top_30,band_384,384
joint_top_30,band_380,380
joint_top_30,band_382,382
joint_top_30,band_377,377
joint_top_30,band_376,376
joint_top_30,band_379,379
joint_top_30,band_391,391
joint_top_30,band_385,385
joint_top_30,band_378,378
joint_top_30,band_375,375
joint_top_30,band_361,361
joint_top_30,band_386,386
joint_top_30,band_387,387
joint_top_30,band_392,392
joint_top_30,band_389,389
joint_top_30,band_390,390
joint_top_30,band_374,374
joint_top_30,band_388,388
joint_top_30,band_393,393
joint_top_30,band_362,362
joint_top_30,band_360,360
joint_top_30,band_394,394
joint_top_30,band_373,373
joint_top_30,band_372,372
joint_top_30,band_359,359
joint_top_30,band_400,400
joint_top_30,band_397,397
joint_top_30,band_395,395
